schedule|fmt|src|st|ext|cats|title
nightly|∅|noURL|never|0|regionen-und-staedte;umwelt;wirtschaft-und-finanzen;wissenschaft-und-technologie|Bodenrichtwerte, Stadt Leipzig
nightly|∅|noURL|never|0|landwirtschaft-fischerei-forstwirtschaft-und-nahrungsmittel;regierung-und-oeffentlicher-sektor;regionen-und-staedte;umwelt;wissenschaft-und-technologie|Digitale Stadtkarte 1:25.000, Stadt Leipzig
nightly|∅|noURL|never|0|landwirtschaft-fischerei-forstwirtschaft-und-nahrungsmittel;regierung-und-oeffentlicher-sektor;regionen-und-staedte;umwelt;verkehr;wissenschaft-und-technologie|Digitale Stadtkarte 1:5.000, Stadt Leipzig
nightly|∅|noURL|never|0|regierung-und-oeffentlicher-sektor;regionen-und-staedte|Flächennutzungsplan der Stadt Leipzig
nightly|∅|noURL|never|0|sonstiges|Geodatenkatalog Leipzig
nightly|∅|noURL|never|0|bevoelkerung-und-gesellschaft;bildung-kultur-und-sport|Horte
nightly|∅|noURL|never|0|sonstiges|Jahresdurchschnittstemperaturen
nightly|∅|noURL|never|0|bevoelkerung-und-gesellschaft;bildung-kultur-und-sport|Kindertageseinrichtungen, Stadt Leipzig
live|∅|noURL|skipped|0|sonstiges|LIS Test
nightly|∅|noURL|never|0|sonstiges|Leipzig-Informationssystem
nightly|∅|noURL|never|0|bildung-kultur-und-sport|Leipziger Weihnachtsmarkt 2023 - Stände in 3D
nightly|∅|noURL|never|0|regierung-und-oeffentlicher-sektor;regionen-und-staedte|Luftbild 2022 (20 cm Bodenauflösung), Stadt Leipzig
nightly|∅|noURL|never|0|sonstiges|Luftbild 2022, Stadt Leipzig
nightly|∅|noURL|never|0|regierung-und-oeffentlicher-sektor;regionen-und-staedte|Luftbild 2024 (20 cm Bodenauflösung), Stadt Leipzig
nightly|∅|noURL|never|0|sonstiges|Luftbild 2024, Stadt Leipzig
nightly|∅|noURL|never|0|regierung-und-oeffentlicher-sektor;regionen-und-staedte|Stadtbezirksbudget, Stadt Leipzig
nightly|∅|noURL|never|0|bildung-kultur-und-sport;regionen-und-staedte;verkehr|Travel-API Leipzig
live|∅|noURL|skipped|0|verkehr|Verkehrsraumeinschränkungen (Punkte), Stadt Leipzig
nightly|CSV|opendata|failed|0|sonstiges|A-Wochen und B-Wochen für Fahrplan Fahrbibliothek
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Bundestagswahl 2021: Ortsteilergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Bundestagswahl 2021: Stadtergebnis
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Bundestagswahl 2021: Wahlbezirksergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Bundestagswahl 2021: Wahlkreisergebnis Leipzig I (152)
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Bundestagswahl 2021: Wahlkreisergebnis Leipzig II (153)
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Europawahl 2024: Ortsteilergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Europawahl 2024: Stadtbezirksergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Europawahl 2024: Stadtergebnis
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Europawahl 2024: Wahlbezirksergebnisse
nightly|CSV|opendata|failed|0|sonstiges|Fahrplan der Fahrbibliothek
nightly|CSV|opendata|failed|0|sonstiges|Fahrplan der Fahrbibliothek für Schulen
nightly|CSV|opendata|failed|0|sonstiges|Frühjahrsputztermine
nightly|CSV|opendata|failed|0|sonstiges|Gartennutzung - Kommunale Bürgerumfrage
nightly|CSV|opendata|failed|0|internationale-themen|Kindergarten- und Kinderkrippenkinder in Kindertageseinric
nightly|CSV|opendata|failed|0|sonstiges|Kommunale Bügerumfrage 2024 - Personengewichtung
nightly|CSV|opendata|failed|0|sonstiges|Kontaktdaten und Öffnungszeiten der Bibliotheken
nightly|SHP|opendata|failed|0|sonstiges|Landschaftsschutzgebiete der Stadt Leipzig
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Landtagswahl 2024: Ortsteilergebnisse
nightly|CSV|opendata|success|1|regierung-und-oeffentlicher-sektor|Landtagswahl 2024: Stadtergebnis
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Landtagswahl 2024: Wahlbezirksergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Landtagswahl 2024: Wahlkreisergebnisse
nightly|CSV|opendata|failed|0|sonstiges|Leipziger Spezialmärkte - Öffnungszeiten und Termine
nightly|CSV|opendata|failed|0|sonstiges|Leipziger Wochenmärkte - Öffnungszeiten und Termine
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Ortschaftsratswahlen 2024: Wahlbezirksergebnisse
nightly|CSV|opendata|failed|0|sonstiges|Stadtbezirksbeiräte_Sitzungen
nightly|XLSX|opendata|failed|0|regierung-und-oeffentlicher-sektor|Stadtratswahl 2019: Ergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Stadtratswahl 2024: Ortsteilergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Stadtratswahl 2024: Stadtergebnis
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Stadtratswahl 2024: Wahlbezirksergebnisse
nightly|CSV|opendata|failed|0|regierung-und-oeffentlicher-sektor|Stadtratswahl 2024: Wahlkreisergebnisse
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamensstatistik 2015
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamensstatistik 2016
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamensstatistik 2017
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamensstatistik 2018
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamensstatistik 2019
nightly|CSV|opendata|failed|0|bevoelkerung-und-gesellschaft|Vornamenstatistik 2025
live|CSV|opendata|skipped|0|bildung-kultur-und-sport|Weihnachtsmärkte im Stadtgebiet Leipzig und Umland
nightly|SHP|other|success|0|sonstiges|3D-Stadtmodell LoD2, Stadt Leipzig
nightly|SHP|other|success|0|landwirtschaft-fischerei-forstwirtschaft-und-nahrungsmittel;regierung-und-oeffentlicher-sektor;regionen-und-staedte;umwelt;verkehr;wissenschaft-und-technologie|3D-Stadtmodell LoD2, Stadt Leipzig
live|GeoJSON|other|success|7|verkehr|Aktuelle Belegung Park+Ride Anlagen, Stadt Leipzig
nightly|CSV|other|success|1|regierung-und-oeffentlicher-sektor|Bundestagswahl 2025: Stadtergebnis
nightly|CSV|other|success|610|regierung-und-oeffentlicher-sektor|Bundestagswahl 2025: Wahlbezirksergebnisse
nightly|CSV|other|success|1|regierung-und-oeffentlicher-sektor|Bundestagswahl 2025: Wahlkreisergebnis Leipzig I (151)
nightly|CSV|other|success|1|regierung-und-oeffentlicher-sektor|Bundestagswahl 2025: Wahlkreisergebnis Leipzig II (152)
live|GeoJSON|other|success|20629|verkehr|Dauerzählstellen Radverkehr - Gesamtanzahl der Fahrräder p
live|GeoJSON|other|success|26|verkehr|Dauerzählstellen Radverkehr - Standorte, Stadt Leipzig
live|GeoJSON|other|success|12528|verkehr|Dauerzählstellen Radverkehr- Gesamtanzahl der Fahrräder pr
nightly|GeoJSON|other|success|9945|verkehr|Historische Belegung (letzten 30 Tage) Park+Ride Anlagen, 
live|JSON|other|success|1|sonstiges|Liegenschaften
nightly|JSON|other|success|1|regierung-und-oeffentlicher-sektor|Organisationen - Ratsinformationssystem Stadt Leipzig (OPa
nightly|GeoJSON|other|success|15|verkehr|Park+Ride Anlagen Standorte, Stadt Leipzig
nightly|JSON|other|success|1|regierung-und-oeffentlicher-sektor|Sitzungskalender - Ratsinformationssystem Stadt Leipzig (O
nightly|JSON|other|success|1|regierung-und-oeffentlicher-sektor|Vorlagen - Ratsinformationssystem Stadt Leipzig (OParl)
